notch_freq_MHz,notch_loss_dB,vlx300_freq,vlx300_loss_dB,shp25_freq_MHz,shp25_loss_dB,snal_gain_freq_MHz,snal_gain_dB,snal_nf_freq_MHz,snal_nf_dB,biastee_freq,biasstee_loss_dB,zrlr5_freq_MHz,zklr5_gain_dB,zklr5_nf_freq_MHz,zkl5r_nf_dB,shp50_freq_MHz,shp50_loss_dB,shp250_freq_MHz,shp250_loss_dB,zx60_gain_freq_MHz,zx60_gain_dB,zx60_nf_freq_MHz,zx60_nf_dB,vlfx1300_freq_MHz,vlfx1300_loss_dB
116.5516927,3.660382518,,,,,760.137931,38.80420792,645.1845487,0.75211721,,,,,,,800,0.46,2877.152833,0.456064605,,,,,,
117.6960231,3.04368631,,,,,777.0135931,38.80420792,661.1863959,0.75886229,,,,,,,,,2959.130818,0.478057518,,,,,,
118.8405704,2.668416875,,,,,793.8892552,38.80420792,686.7328507,0.760031967,,,,,,,,,3000,0.51,,,,,,
119.9851612,2.341432795,,,,,810.7649173,38.80420792,702.1091528,0.776994588,,,,,,,,,,,,,,,,
120.765637,2.199696291,,,,,827.6405794,38.80420792,720.9965791,0.785813231,,,,,,,,,,,,,,,,
128.9473684,1.472866081,,,,,844.5162414,38.71270848,738.3100531,0.79760537,,,,,,,,,,,,,,,,
140,1,,,,,861.3919035,38.66695876,755.6235272,0.79760537,,,,,,,,,,,,,,,,
500,0.49,,,,,878.2675656,38.67839619,772.9370013,0.801306938,,,,,,,,,,,,,,,,
1000,0.66,,,,,895.1432277,38.66695876,790.2504754,0.803034337,,,,,,,,,,,,,,,,
,,,,,,912.0188898,38.62120904,808.1935303,0.813951848,,,,,,,,,,,,,,,,
,,,,,,928.8945519,38.55258446,824.0904474,0.815377598,,,,,,,,,,,,,,,,
,,,,,,945.7702139,38.55258446,842.1908976,0.812535028,,,,,,,,,,,,,,,,
,,,,,,962.645876,38.55258446,859.032186,0.830087463,,,,,,,,,,,,,,,,
,,,,,,979.5215381,38.55258446,876.8178457,0.828128619,,,,,,,,,,,,,,,,
,,,,,,996.3972002,38.55258446,894.1313198,0.82976854,,,,,,,,,,,,,,,,
,,,,,,1013.272862,38.55258446,911.4447939,0.826900638,,,,,,,,,,,,,,,,
,,,,,,1030.148524,38.55258446,930.5570704,0.813193085,,,,,,,,,,,,,,,,
,,,,,,1047.024186,38.55258446,945.9143468,0.849695926,,,,,,,,,,,,,,,,
,,,,,,1063.899849,38.55258446,968.1070726,0.86275297,,,,,,,,,,,,,,,,
,,,,,,1080.775511,38.55258446,982.7972931,0.864768268,,,,,,,,,,,,,,,,
,,,,,,1097.651173,38.55258446,1002.734021,0.873117361,,,,,,,,,,,,,,,,
,,,,,,1114.526835,38.55258446,1020.047495,0.870649649,,,,,,,,,,,,,,,,
,,,,,,1131.402497,38.55258446,1037.360969,0.875091531,,,,,,,,,,,,,,,,
,,,,,,1148.278159,38.55258446,1057.297697,0.887841377,,,,,,,,,,,,,,,,
,,,,,,1165.153821,38.43821017,1071.987917,0.892612287,,,,,,,,,,,,,,,,
,,,,,,1182.029483,38.42677274,1094.023248,0.872377047,,,,,,,,,,,,,,,,
,,,,,,1198.905145,38.32383587,1111.926954,0.891347584,,,,,,,,,,,,,,,,
,,,,,,1215.780807,38.30096101,1127.86322,0.882593376,,,,,,,,,,,,,,,,
,,,,,,1232.656469,38.30096101,1150.685526,0.892859058,,,,,,,,,,,,,,,,
,,,,,,1249.532131,38.16371185,1166.649899,0.904386799,,,,,,,,,,,,,,,,
,,,,,,1266.407794,38.04933755,1185.312475,0.90544439,,,,,,,,,,,,,,,,
,,,,,,1283.283456,37.9921504,1203.075649,0.907101282,,,,,,,,,,,,,,,,
,,,,,,1300.159118,37.80915153,1219.939423,0.917042637,,,,,,,,,,,,,,,,
,,,,,,1317.03478,37.72908952,1239.5014,0.909040199,,,,,,,,,,,,,,,,
,,,,,,1333.910442,37.54609064,1253.779395,0.911909796,,,,,,,,,,,,,,,,
,,,,,,1350.786104,37.48890349,1276.601702,0.930368282,,,,,,,,,,,,,,,,
,,,,,,1367.661766,37.30590462,1292.566074,0.929592716,,,,,,,,,,,,,,,,
,,,,,,1384.537428,37.28302976,1311.22865,0.929627969,,,,,,,,,,,,,,,,
,,,,,,1401.41309,37.10003088,1329.132356,0.938851043,,,,,,,,,,,,,,,,
,,,,,,1418.288752,37.04284373,1345.855598,0.92790057,,,,,,,,,,,,,,,,
,,,,,,1435.164414,36.85984486,1370.940461,0.945739044,,,,,,,,,,,,,,,,
,,,,,,1452.040076,36.79122028,1385.429253,0.969120763,,,,,,,,,,,,,,,,
,,,,,,1468.915739,36.66540855,1404.091829,0.955273236,,,,,,,,,,,,,,,,
,,,,,,1485.791401,36.51672196,1428.712938,0.944019179,,,,,,,,,,,,,,,,
,,,,,,1497.297534,36.38233216,1446.363688,0.970014512,,,,,,,,,,,,,,,,
,,,,,,,,1461.494791,0.951929796,,,,,,,,,,,,,,,,
,,,,,,,,1479.641534,0.983670864,,,,,,,,,,,,,,,,
,,,,,,,,1496.955008,0.977190182,,,,,,,,,,,,,,,,
,,,,,,,,1514.268482,0.988787254,,,,,,,,,,,,,,,,
,,,,,,,,1531.581956,0.992554628,,,,,,,,,,,,,,,,
,,,,,,,,1545.747526,0.987760216,,,,,,,,,,,,,,,,
,,,,,,,,125.9669811,0.848484848,,,,,,,,,,,,,,,,
,,,,,,,,277.0754717,0.739393939,,,,,,,,,,,,,,,,
